date,close
2025-01-01,40000.0
2025-01-02,40285.91
2025-01-03,40570.37
2025-01-04,40851.92
2025-01-05,41129.15
2025-01-06,41400.65
2025-01-07,41665.04
2025-01-08,41921.01
2025-01-09,42167.27
2025-01-10,42402.61
2025-01-11,42625.86
2025-01-12,42835.96
2025-01-13,43031.88
2025-01-14,43212.71
2025-01-15,43377.61
2025-01-16,43525.85
2025-01-17,43656.79
2025-01-18,43769.88
2025-01-19,43864.7
2025-01-20,43940.92
2025-01-21,43998.33
2025-01-22,44036.82
2025-01-23,44056.41
2025-01-24,44057.2
2025-01-25,44039.45
2025-01-26,44003.48
2025-01-27,43949.75
2025-01-28,43878.81
2025-01-29,43791.32
2025-01-30,43688.03
2025-01-31,43569.79
2025-02-01,43437.53
2025-02-02,43292.27
2025-02-03,43135.12
2025-02-04,42967.23
2025-02-05,42789.83
2025-02-06,42604.21
2025-02-07,42411.71
2025-02-08,42213.7
2025-02-09,42011.58
2025-02-10,41806.8
2025-02-11,41600.79
2025-02-12,41395.01
2025-02-13,41190.92
2025-02-14,40989.96
2025-02-15,40793.55
2025-02-16,40603.1
2025-02-17,40419.96
2025-02-18,40245.45
2025-02-19,40080.85
2025-02-20,39927.36
2025-02-21,39786.13
2025-02-22,39658.23
2025-02-23,39544.66
2025-02-24,39446.31
2025-02-25,39364.01
2025-02-26,39298.49
2025-02-27,39250.36
2025-02-28,39220.15
2025-03-01,39208.28
2025-03-02,39215.04
2025-03-03,39240.65
2025-03-04,39285.17
2025-03-05,39348.59
2025-03-06,39430.76
2025-03-07,39531.44
2025-03-08,39650.27
2025-03-09,39786.78
2025-03-10,39940.41
2025-03-11,40110.47
2025-03-12,40296.2
2025-03-13,40496.74
2025-03-14,40711.14
2025-03-15,40938.37
2025-03-16,41177.31
2025-03-17,41426.8
2025-03-18,41685.59
2025-03-19,41952.4
2025-03-20,42225.87
2025-03-21,42504.63
2025-03-22,42787.27
2025-03-23,43072.35
2025-03-24,43358.41
2025-03-25,43644.02
2025-03-26,43927.71
2025-03-27,44208.04
2025-03-28,44483.59
2025-03-29,44752.97
2025-03-30,45014.83
2025-03-31,45267.84
2025-04-01,45510.75
2025-04-02,45742.36
2025-04-03,45961.53
2025-04-04,46167.22
2025-04-05,46358.42
2025-04-06,46534.27
2025-04-07,46693.94
2025-04-08,46836.73
2025-04-09,46962.03
2025-04-10,47069.35
2025-04-11,47158.27
2025-04-12,47228.51
2025-04-13,47279.9
2025-04-14,47312.36
2025-04-15,47325.95
2025-04-16,47320.8
2025-04-17,47297.2
2025-04-18,47255.52
2025-04-19,47196.25
2025-04-20,47119.96
2025-04-21,47027.34
2025-04-22,46919.19
2025-04-23,46796.38
2025-04-24,46659.87
2025-04-25,46510.7
2025-04-26,46349.99
2025-04-27,46178.94
2025-04-28,45998.78
2025-04-29,45810.82
2025-04-30,45616.41
2025-05-01,45416.94
2025-05-02,45213.82
2025-05-03,45008.49
2025-05-04,44802.39
2025-05-05,44597.0
2025-05-06,44393.75
2025-05-07,44194.08
2025-05-08,43999.42
2025-05-09,43811.15
2025-05-10,43630.62
2025-05-11,43459.13
2025-05-12,43297.94
2025-05-13,43148.24
2025-05-14,43011.14
2025-05-15,42887.7
2025-05-16,42778.89
2025-05-17,42685.57
2025-05-18,42608.54
2025-05-19,42548.5
2025-05-20,42506.03
2025-05-21,42481.62
2025-05-22,42475.66
2025-05-23,42488.41
2025-05-24,42520.03
2025-05-25,42570.58
2025-05-26,42640.0
2025-05-27,42728.1
2025-05-28,42834.61
2025-05-29,42959.13
2025-05-30,43101.16
2025-05-31,43260.09
2025-06-01,43435.24
2025-06-02,43625.78
2025-06-03,43830.85
2025-06-04,44049.45
2025-06-05,44280.53
2025-06-06,44522.97
2025-06-07,44775.56
2025-06-08,45037.05
2025-06-09,45306.12
